  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 3315                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.000  -0.4092   0.14840   0.14273  -0.0302   1.0000   0.1118
 -12.000  -0.3795   0.13410   0.12850  -0.0328   1.0000   0.1228
 -11.000  -0.3543   0.12083   0.11532  -0.0347   1.0000   0.1355
  -9.000  -0.3538   0.09658   0.09146  -0.0363   1.0000   0.1666
  -5.000  -0.4067   0.03012   0.02116  -0.0430   0.9614   0.1316
  -4.000  -0.2364   0.02618   0.01682  -0.0544   0.9251   0.1706
  -1.000   0.2209   0.01771   0.01128  -0.0648   0.8070   0.9318
  -0.000   0.4637   0.01670   0.00944  -0.0878   0.7400   1.0000
   1.000   0.5441   0.01658   0.00867  -0.0828   0.6715   1.0000
   2.000   0.6268   0.01731   0.00889  -0.0779   0.6156   1.0000
   3.000   0.7133   0.01851   0.00972  -0.0735   0.5730   1.0000
   4.000   0.8052   0.01998   0.01090  -0.0699   0.5397   1.0000
   5.000   0.8948   0.02179   0.01265  -0.0662   0.5095   1.0000
   6.000   0.9873   0.02378   0.01466  -0.0630   0.4814   1.0000
   7.000   1.0791   0.02595   0.01693  -0.0599   0.4531   1.0000
   8.000   1.1643   0.02830   0.01955  -0.0559   0.4229   1.0000
   9.000   1.2443   0.03054   0.02209  -0.0512   0.3896   1.0000
  10.000   1.3356   0.03174   0.02329  -0.0477   0.3542   1.0000
  11.000   1.3999   0.03309   0.02491  -0.0405   0.3149   1.0000
  14.000   1.4173   0.04539   0.03761  -0.0071   0.1903   1.0000
  15.000   1.3979   0.05587   0.04816  -0.0026   0.1555   1.0000
