  
       XFOIL         Version 6.99
  
 Calculated polar for: blended_1210_2310                               
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.152 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2350   0.01087   0.00514  -0.0495   0.9288   1.0000
   0.100   0.2499   0.01078   0.00503  -0.0501   0.9220   1.0000
   0.200   0.2632   0.01070   0.00493  -0.0503   0.9144   1.0000
   0.300   0.2762   0.01061   0.00482  -0.0505   0.9068   1.0000
   0.400   0.2877   0.01055   0.00473  -0.0504   0.8981   1.0000
   0.500   0.2988   0.01048   0.00464  -0.0501   0.8894   1.0000
   0.600   0.3095   0.01042   0.00455  -0.0498   0.8806   1.0000
   0.700   0.3199   0.01036   0.00447  -0.0494   0.8715   1.0000
   0.800   0.3298   0.01031   0.00439  -0.0489   0.8620   1.0000
   0.900   0.3395   0.01028   0.00433  -0.0484   0.8521   1.0000
   1.000   0.3490   0.01025   0.00426  -0.0479   0.8421   1.0000
   1.100   0.3585   0.01023   0.00421  -0.0473   0.8318   1.0000
   1.200   0.3678   0.01022   0.00416  -0.0467   0.8210   1.0000
   1.300   0.3772   0.01022   0.00412  -0.0461   0.8102   1.0000
   1.400   0.3866   0.01022   0.00408  -0.0456   0.7993   1.0000
   1.500   0.3960   0.01024   0.00404  -0.0450   0.7883   1.0000
   1.600   0.4054   0.01026   0.00401  -0.0445   0.7772   1.0000
   1.700   0.4147   0.01029   0.00400  -0.0439   0.7655   1.0000
   1.800   0.4241   0.01032   0.00398  -0.0434   0.7540   1.0000
   1.900   0.4335   0.01037   0.00397  -0.0429   0.7426   1.0000
   2.000   0.4429   0.01042   0.00397  -0.0424   0.7305   1.0000
   2.100   0.4523   0.01047   0.00397  -0.0419   0.7188   1.0000
   2.200   0.4616   0.01054   0.00398  -0.0414   0.7070   1.0000
   2.300   0.4710   0.01061   0.00399  -0.0409   0.6950   1.0000
   2.400   0.4804   0.01068   0.00401  -0.0404   0.6835   1.0000
   2.500   0.4897   0.01077   0.00404  -0.0399   0.6716   1.0000
   2.600   0.4991   0.01085   0.00407  -0.0395   0.6600   1.0000
   2.700   0.5085   0.01094   0.00410  -0.0390   0.6487   1.0000
   2.800   0.5179   0.01104   0.00414  -0.0386   0.6374   1.0000
   2.900   0.5273   0.01114   0.00419  -0.0381   0.6262   1.0000
   3.000   0.5367   0.01124   0.00424  -0.0377   0.6153   1.0000
   3.100   0.5461   0.01135   0.00429  -0.0373   0.6047   1.0000
   3.200   0.5556   0.01146   0.00435  -0.0369   0.5943   1.0000
   3.300   0.5650   0.01158   0.00442  -0.0365   0.5842   1.0000
